repo_path;path;original_path
C#/dotnet~roslyn;src/EditorFeatures/CSharpTest/EditAndContinue/BreakpointSpansTests.cs;src/Features/CSharpTest/EditAndContinue/BreakpointSpansTests.cs
C#/dotnet~roslyn;Src/Compilers/Test/Resources/Core/PerfTests/CSPerfTest.cs;src/Compilers/Test/Resources/Core/PerfTests/CSPerfTest.cs
C#/dotnet~roslyn;src/EditorFeatures/CSharpTest/UsePatternMatching/CSharpAsAndNullCheckTests.cs;src/Analyzers/CSharp/Tests/UsePatternMatching/CSharpAsAndNullCheckTests.cs
C#/dotnet~roslyn;src/Compilers/CSharp/Portable/CommandLine/CommandLineParser.cs;src/Compilers/CSharp/Portable/CommandLine/CSharpCommandLineParser.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Portable/Compilation/CSharpCompilation.cs;src/Compilers/CSharp/Portable/Compilation/CSharpCompilation.cs
C#/dotnet~roslyn;src/Features/CSharp/EditAndContinue/CSharpEditAndContinueAnalyzer.cs;src/Features/CSharp/Portable/EditAndContinue/CSharpEditAndContinueAnalyzer.cs
C#/dotnet~roslyn;src/EditorFeatures/CSharpTest/InlineDeclaration/CSharpInlineDeclarationTests.cs;src/Analyzers/CSharp/Tests/InlineDeclaration/CSharpInlineDeclarationTests.cs
C#/dotnet~roslyn;src/Features/CSharpTest/InlineMethod/CSharpInlineMethodTests.cs;src/EditorFeatures/CSharpTest/CodeActions/InlineMethod/CSharpInlineMethodTests.cs
C#/dotnet~roslyn;src/EditorFeatures/CSharpTest/EmbeddedLanguages/Json/CSharpJsonParserTests_BasicTests.cs;src/EditorFeatures/CSharpTest2/EmbeddedLanguages/Json/CSharpJsonParserTests_BasicTests.cs
C#/dotnet~roslyn;src/EditorFeatures/CSharpTest/EmbeddedLanguages/Json/CSharpJsonParserTests_NstTests.cs;src/EditorFeatures/CSharpTest2/EmbeddedLanguages/Json/CSharpJsonParserTests_NstTests.cs
C#/dotnet~roslyn;src/Features/CSharpTest/MoveStaticMembers/CSharpMoveStaticMembersTests.cs;src/EditorFeatures/CSharpTest/CodeActions/MoveStaticMembers/CSharpMoveStaticMembersTests.cs
C#/dotnet~roslyn;src/Features/CSharpTest/PullMemberUp/CSharpPullMemberUpTests.cs;src/EditorFeatures/CSharpTest/CodeActions/PullMemberUp/CSharpPullMemberUpTests.cs
C#/dotnet~roslyn;src/EditorFeatures/CSharpTest/EmbeddedLanguages/RegularExpressions/CSharpRegexParserTests_BasicTests.cs;src/EditorFeatures/CSharpTest2/EmbeddedLanguages/RegularExpressions/CSharpRegexParserTests_BasicTests.cs
C#/dotnet~roslyn;src/EditorFeatures/CSharpTest/EmbeddedLanguages/RegularExpressions/CSharpRegexParserTests_DotnetNegativeTests.cs;src/EditorFeatures/CSharpTest2/EmbeddedLanguages/RegularExpressions/CSharpRegexParserTests_DotnetNegativeTests.cs
C#/dotnet~roslyn;src/EditorFeatures/CSharpTest/EmbeddedLanguages/RegularExpressions/CSharpRegexParserTests_ReferenceTests.cs;src/EditorFeatures/CSharpTest2/EmbeddedLanguages/RegularExpressions/CSharpRegexParserTests_ReferenceTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Portable/Compilation/CSharpSemanticModel.cs;src/Compilers/CSharp/Portable/Compilation/CSharpSemanticModel.cs
C#/dotnet~roslyn;Src/Workspaces/CSharp/Portable/CodeGeneration/CSharpSyntaxGenerator.cs;src/Workspaces/CSharp/Portable/CodeGeneration/CSharpSyntaxGenerator.cs
C#/dotnet~roslyn;Src/Compilers/Test/Utilities/CSharp/CSharpTestBase.cs;src/Compilers/Test/Utilities/CSharp/CSharpTestBase.cs
C#/dotnet~roslyn;src/Workspaces/CSharp/Portable/LanguageServices/CSharpTypeInferenceService.TypeInferrer.cs;src/Workspaces/SharedUtilitiesAndExtensions/Workspace/CSharp/LanguageServices/CSharpTypeInferenceService.TypeInferrer.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Symbol/Symbols/Source/ClsComplianceTests.cs;src/Compilers/CSharp/Test/Symbol/Symbols/Source/ClsComplianceTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenAsyncEHTests.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenAsyncEHTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenAsyncLocalsTests.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenAsyncLocalsTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenAsyncSpillTests.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenAsyncSpillTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenAsyncTests.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenAsyncTests.cs
C#/dotnet~roslyn;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenAsyncForeachTests.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenAwaitForeachTests.cs
C#/dotnet~roslyn;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenAsyncDisposableTests.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenAwaitUsingTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenCheckedTests.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenCheckedTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenClosureLambdaTests.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenClosureLambdaTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenConditionalOperatorTests.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenConditionalOperatorTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenDynamicTests.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenDynamicTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenExprLambdaTests.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenExprLambdaTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenForEachTests.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenForEachTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenImplicitImplementationTests.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenImplicitImplementationTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenInterfaceImplementation.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenInterfaceImplementation.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenIterators.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenIterators.cs
C#/dotnet~roslyn;src/Compilers/CSharp/Test/Emit/CodeGen/LockTests.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenLockTests.cs
C#/dotnet~roslyn;src/Compilers/CSharp/Test/Emit/CodeGen/NullCoalescingAssignmentTests.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenNullCoalescingAssignmentTests.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenOperators.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenOperators.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenOptimizedNullableOperators.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenOptimizedNullableOperators.cs
C#/dotnet~roslyn;Src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenOverridingAndHiding.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenOverridingAndHiding.cs
C#/dotnet~roslyn;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenInParametersTests.cs;src/Compilers/CSharp/Test/Emit/CodeGen/CodeGenRefReadOnlyParametersTests.cs
