Language,Owner,Project,#Larges
TypeScript,tailwindlabs,tailwindcss,12
TypeScript,excalidraw,excalidraw,22
TypeScript,ChatGPTNextWeb,ChatGPT-Next-Web,2
TypeScript,supabase,supabase,23
TypeScript,coder,code-server,0
TypeScript,vitejs,vite,11
TypeScript,nestjs,nest,2
TypeScript,microsoft,playwright,42
TypeScript,grafana,grafana,56
TypeScript,hoppscotch,hoppscotch,6
TypeScript,reduxjs,redux,0
TypeScript,socketio,socket.io,4
TypeScript,apache,superset,33
TypeScript,apache,echarts,17
TypeScript,Eugeny,tabby,0
TypeScript,nuxt,nuxt,1
TypeScript,ionic-team,ionic-framework,4
TypeScript,vuejs,core,28
TypeScript,FuelLabs,fuels-ts,5
TypeScript,jestjs,jest,14
TypeScript,pmndrs,zustand,1
TypeScript,babel,babel,24
TypeScript,nocodb,nocodb,36
